# pdferr
# Thu Aug 28 23:39:22 2025
# columns: x,xg,xd,xc,xb,xDg,xDd,xDc,xDb
#      x          xg          xd          xc          xb         xDg         xDd         xDc         xDb
#      1           2           3           4           5           6           7           8           9
#$QQ= 1.0000e+01
  4.1610e-01  2.0091e-01  2.5427e-02  2.9638e-03  0.0000e+00  1.2471e-02  1.7195e-03  2.1829e-04  0.0000e+00
  4.1860e-01  2.0028e-01  2.5493e-02  2.9443e-03  0.0000e+00  1.2452e-02  1.7243e-03  2.1750e-04  0.0000e+00
  4.2111e-01  1.9965e-01  2.5559e-02  2.9248e-03  0.0000e+00  1.2434e-02  1.7290e-03  2.1672e-04  0.0000e+00
  4.2362e-01  1.9903e-01  2.5623e-02  2.9055e-03  0.0000e+00  1.2416e-02  1.7337e-03  2.1594e-04  0.0000e+00
  4.2612e-01  1.9841e-01  2.5688e-02  2.8862e-03  0.0000e+00  1.2398e-02  1.7384e-03  2.1516e-04  0.0000e+00
  4.2863e-01  1.9779e-01  2.5751e-02  2.8670e-03  0.0000e+00  1.2381e-02  1.7431e-03  2.1439e-04  0.0000e+00
  4.3113e-01  1.9718e-01  2.5814e-02  2.8480e-03  0.0000e+00  1.2363e-02  1.7478e-03  2.1362e-04  0.0000e+00
  4.3364e-01  1.9657e-01  2.5876e-02  2.8290e-03  0.0000e+00  1.2347e-02  1.7524e-03  2.1285e-04  0.0000e+00
  4.3615e-01  1.9597e-01  2.5938e-02  2.8102e-03  0.0000e+00  1.2330e-02  1.7571e-03  2.1209e-04  0.0000e+00
  4.3865e-01  1.9536e-01  2.5999e-02  2.7914e-03  0.0000e+00  1.2314e-02  1.7617e-03  2.1133e-04  0.0000e+00
  4.4116e-01  1.9477e-01  2.6059e-02  2.7727e-03  0.0000e+00  1.2298e-02  1.7664e-03  2.1057e-04  0.0000e+00
  4.4366e-01  1.9417e-01  2.6119e-02  2.7541e-03  0.0000e+00  1.2282e-02  1.7710e-03  2.0982e-04  0.0000e+00
  4.4617e-01  1.9359e-01  2.6177e-02  2.7356e-03  0.0000e+00  1.2267e-02  1.7756e-03  2.0906e-04  0.0000e+00
  4.4868e-01  1.9300e-01  2.6236e-02  2.7172e-03  0.0000e+00  1.2252e-02  1.7802e-03  2.0831e-04  0.0000e+00
  4.5118e-01  1.9242e-01  2.6293e-02  2.6988e-03  0.0000e+00  1.2237e-02  1.7848e-03  2.0757e-04  0.0000e+00
  4.5369e-01  1.9184e-01  2.6350e-02  2.6806e-03  0.0000e+00  1.2222e-02  1.7893e-03  2.0682e-04  0.0000e+00
  4.5619e-01  1.9126e-01  2.6406e-02  2.6624e-03  0.0000e+00  1.2208e-02  1.7939e-03  2.0608e-04  0.0000e+00
